name,slug,draft_year,draft_pick,season,team_id,lg_id,pos
Kiki Vandeweghe,vandeki01,1980,11,1985-86,POR,NBA,SF
Kiki Vandeweghe,vandeki01,1980,11,1986-87,POR,NBA,SF
Kiki Vandeweghe,vandeki01,1980,11,1987-88,POR,NBA,SF
Kiki Vandeweghe,vandeki01,1980,11,1988-89,TOT,NBA,PF
Kiki Vandeweghe,vandeki01,1980,11,1989-90,NYK,NBA,SF
Kiki Vandeweghe,vandeki01,1980,11,1990-91,NYK,NBA,SF
Kiki Vandeweghe,vandeki01,1980,11,1991-92,NYK,NBA,SF
Kiki Vandeweghe,vandeki01,1980,11,1992-93,LAC,NBA,SF
Mike Woodson,woodsmi01,1980,12,1980-81,NYK,NBA,SG
Mike Woodson,woodsmi01,1980,12,1981-82,TOT,NBA,SG
Mike Woodson,woodsmi01,1980,12,1982-83,KCK,NBA,SG
Mike Woodson,woodsmi01,1980,12,1983-84,KCK,NBA,SG
Mike Woodson,woodsmi01,1980,12,1984-85,KCK,NBA,SG
Mike Woodson,woodsmi01,1980,12,1985-86,SAC,NBA,SG
Mike Woodson,woodsmi01,1980,12,1986-87,LAC,NBA,SG
Mike Woodson,woodsmi01,1980,12,1987-88,LAC,NBA,SG
Mike Woodson,woodsmi01,1980,12,1988-89,HOU,NBA,SG
Mike Woodson,woodsmi01,1980,12,1989-90,HOU,NBA,SG
Mike Woodson,woodsmi01,1980,12,1990-91,TOT,NBA,SG
Rickey Brown,brownri01,1980,13,1980-81,GSW,NBA,C
Rickey Brown,brownri01,1980,13,1981-82,GSW,NBA,C
Rickey Brown,brownri01,1980,13,1982-83,TOT,NBA,C
Rickey Brown,brownri01,1980,13,1983-84,ATL,NBA,C
Rickey Brown,brownri01,1980,13,1984-85,ATL,NBA,C
Wes Matthews,matthwe01,1980,14,1980-81,TOT,NBA,PG
Wes Matthews,matthwe01,1980,14,1981-82,ATL,NBA,PG
Wes Matthews,matthwe01,1980,14,1982-83,ATL,NBA,PG
Wes Matthews,matthwe01,1980,14,1983-84,TOT,NBA,PG
Wes Matthews,matthwe01,1980,14,1984-85,CHI,NBA,PG
Wes Matthews,matthwe01,1980,14,1985-86,SAS,NBA,PG
Wes Matthews,matthwe01,1980,14,1986-87,LAL,NBA,PG
Wes Matthews,matthwe01,1980,14,1987-88,LAL,NBA,PG
Wes Matthews,matthwe01,1980,14,1989-90,ATL,NBA,PG
Reggie Johnson,johnsre01,1980,15,1980-81,SAS,NBA,PF
Reggie Johnson,johnsre01,1980,15,1981-82,TOT,NBA,PF
Reggie Johnson,johnsre01,1980,15,1982-83,TOT,NBA,SF
Reggie Johnson,johnsre01,1980,15,1983-84,NJN,NBA,PF
