name,slug,draft_year,draft_pick,season,team_id,lg_id,pos
Claude Gregory,gregocl01,1981,41,1985-86,WSB,NBA,PF
Elston Turner,turneel01,1981,43,1981-82,DAL,NBA,SF
Steve Lingenfelter,lingest01,1981,44,1982-83,WSB,NBA,PF
David Burns,burnsda01,1981,49,1981-82,TOT,NBA,PG
Rudy Macklin,macklru01,1981,52,1981-82,ATL,NBA,SF
Mark Radford,radfoma01,1981,53,1981-82,SEA,NBA,SG
Jim Smith,smithji01,1981,54,1981-82,SDC,NBA,PF
Mickey Dillard,dillami01,1981,55,1981-82,CLE,NBA,PG
Frank Brickowski,brickfr01,1981,57,1984-85,SEA,NBA,C
Pétur Guðmundsson,gudmupe01,1981,61,1981-82,POR,NBA,C
Craig Dykema,dykemcr01,1981,66,1981-82,PHO,NBA,SF
Lewis Lloyd,lloydle01,1981,76,1981-82,GSW,NBA,SG
Kenny Dennard,dennake01,1981,78,1981-82,KCK,NBA,PF
Larry Spriggs,sprigla01,1981,81,1981-82,HOU,NBA,SF
Pete Verhoeven,verhope01,1981,85,1981-82,POR,NBA,PF
Alex Bradley,bradlal02,1981,86,1981-82,NYK,NBA,SF
Kevin McKenna,mckenke01,1981,88,1981-82,LAL,NBA,SG
Joe Cooper,coopejo01,1981,95,1981-82,NJN,NBA,C
Hank McDowell,mcdowha01,1981,102,1981-82,GSW,NBA,PF
Garry Witts,wittsga01,1981,103,1981-82,WSB,NBA,SF
Roger Burkman,burkmro01,1981,130,1981-82,CHI,NBA,SG
Clinton Wheeler,wheelcl01,1981,150,1987-88,IND,NBA,PG
Bobby Cattage,cattabo01,1981,165,1981-82,UTA,NBA,PF
Derrick Rowland,rowlade01,1981,211,1985-86,MIL,NBA,SG
James Worthy,worthja01,1982,1,1982-83,LAL,NBA,SF
Terry Cummings,cummite01,1982,2,1982-83,SDC,NBA,PF
Dominique Wilkins,wilkido01,1982,3,1982-83,ATL,NBA,SF
Bill Garnett,garnebi02,1982,4,1982-83,DAL,NBA,C
LaSalle Thompson,thompla01,1982,5,1982-83,KCK,NBA,C
Trent Tucker,tucketr01,1982,6,1982-83,NYK,NBA,SG
Quintin Dailey,dailequ01,1982,7,1982-83,CHI,NBA,SG
Clark Kellogg,kellocl01,1982,8,1982-83,IND,NBA,PF
Cliff Levingston,levincl01,1982,9,1982-83,DET,NBA,PF
Keith Edmonson,edmonke01,1982,10,1982-83,ATL,NBA,SG
Fat Lever,leverfa01,1982,11,1982-83,POR,NBA,PG
John Bagley,baglejo01,1982,12,1982-83,CLE,NBA,PG
Sleepy Floyd,floydsl01,1982,13,1982-83,TOT,NBA,PG
Lester Conner,connele01,1982,14,1982-83,GSW,NBA,PG
David Thirdkill,thirdda01,1982,15,1982-83,PHO,NBA,SF
Terry Teagle,teaglte01,1982,16,1982-83,HOU,NBA,SG
Brook Steppe,steppbr01,1982,17,1982-83,KCK,NBA,SG
Ricky Pierce,piercri01,1982,18,1982-83,DET,NBA,SG
Rob Williams,williro02,1982,19,1982-83,DEN,NBA,PG
Paul Pressey,presspa01,1982,20,1982-83,MIL,NBA,SG
Eddie Phillips,philled01,1982,21,1982-83,NJN,NBA,SF
Mark McNamara,mcnamma01,1982,22,1982-83,PHI,NBA,C
Darren Tillis,tillida01,1982,23,1982-83,TOT,NBA,C
Oliver Robinson,robinol01,1982,24,1982-83,SAS,NBA,SG
Bryan Warrick,warribr01,1982,25,1982-83,WSB,NBA,PG
Fred Roberts,roberfr01,1982,27,1983-84,SAS,NBA,PF
Dave Magley,magleda01,1982,28,1982-83,CLE,NBA,SF
Scott Hastings,hastisc01,1982,29,1982-83,TOT,NBA,C-PF
Wallace Bryant,bryanwa01,1982,30,1983-84,CHI,NBA,C
Rod Higgins,higgiro01,1982,31,1982-83,CHI,NBA,SF
Richard Anderson,anderri01,1982,32,1982-83,SDC,NBA,C
Linton Townes,towneli01,1982,33,1982-83,POR,NBA,SF
Vince Taylor,taylovi01,1982,34,1982-83,NYK,NBA,SG
Derek Smith,smithde02,1982,35,1982-83,GSW,NBA,SF
J.J. Anderson,anderjj01,1982,36,1982-83,TOT,NBA,SF
Audie Norris,norriau01,1982,37,1982-83,POR,NBA,C
Wayne Sappleton,sapplwa01,1982,38,1984-85,NJN,NBA,PF
Guy Morgan,morgagu01,1982,40,1982-83,IND,NBA,SG
Dwight Anderson,anderdw01,1982,41,1982-83,DEN,NBA,PG
Jeff Taylor,tayloje01,1982,42,1982-83,HOU,NBA,SG
