1982,35,Derek Smith,smithde02
1982,36,J.J. Anderson,anderjj01
1982,37,Audie Norris,norriau01
1982,38,Wayne Sappleton,sapplwa01
1982,40,Guy Morgan,morgagu01
1982,41,Dwight Anderson,anderdw01
1982,42,Jeff Taylor,tayloje01
1982,43,Jose Slaughter,slaugjo01
1982,44,Mike Gibson,gibsomi01
1982,45,Russ Schoene,schoeru01
1982,47,Michael Wilson,wilsomi01
1982,48,Craig Hodges,hodgecr01
1982,50,Corny Thompson,thompco01
1982,51,Jim Johnstone,johnsji01
1982,55,Jerry Eaves,eavesje01
1982,56,Joe Kopicki,kopicjo01
1982,60,Chris Engler,englech01
1982,61,Charles Pittman,pittmch01
1982,63,Chuck Nevitt,nevitch01
1982,65,John Greig,greigjo01
1982,69,Perry Moss,mosspe01
1982,72,Mark Eaton,eatonma01
1982,74,Mike Sanders,sandemi01
1982,76,Chuck Aleksinas,aleksch01
1982,78,Walker Russell,russewa01
1982,82,Tony Brown,brownto01
1982,86,Rory White,whitero01
1982,138,John Schweitz,schwejo01
1982,140,Eddie Hughes,hugheed01
1982,166,Ed Nealy,nealyed01
1982,221,Dale Wilkinson,wilkida01
1983,1,Ralph Sampson,sampsra01
1983,2,Steve Stipanovich,stipast01
1983,3,Rodney McCray,mccraro01
1983,4,Byron Scott,scottby01
1983,5,Sidney Green,greensi02
1983,6,Russell Cross,crossru01
1983,7,Thurl Bailey,baileth01
1983,8,Antoine Carr,carran01
1983,9,Dale Ellis,ellisda01
1983,10,Jeff Malone,malonje01
1983,11,Derek Harper,harpede01
1983,12,Darrell Walker,walkeda01
1983,13,Ennis Whatley,whatlen01
1983,14,Clyde Drexler,drexlcl01
1983,15,Howard Carter,carteho01
1983,16,Jon Sundvold,sundvjo01
1983,17,Leo Rautins,rautile01
1983,18,Randy Breuer,breuera01
1983,19,John Paxson,paxsojo01
1983,20,Roy Hinson,hinsoro01
1983,21,Greg Kite,kitegr01
1983,22,Randy Wittman,wittmra01
1983,23,Mitchell Wiggins,wiggimi01
1983,24,Stewart Granger,grangst01
1983,25,Sidney Lowe,lowesi01
1983,26,Leroy Combs,combsle01
1983,27,John Garris,garrijo01
1983,28,Rod Foster,fostero01
1983,29,Larry Micheaux,michela01
1983,30,Mark West,westma01
1983,31,Doc Rivers,riverdo01
1983,33,Dirk Minniefield,minnidi01
1983,34,Guy Williams,willigu02
1983,35,Darrell Lockhart,lockhda01
1983,36,Scooter McCray,mccrasc01
1983,38,Chris McNealy,mcneach01
1983,39,Granville Waiters,waitegr01
1983,40,Jim Thomas,thomaji01
1983,43,Pace Mannion,mannipa01
1983,46,Kevin Williams,willike01
1983,48,Craig Ehlo,ehlocr01
1983,50,Paul Thompson,thomppa01
1983,53,Mike Holton,holtomi01
1983,54,Bob Hansen,hansebo01
1983,57,Darren Daye,dayeda01
1983,58,John Pinone,pinonjo01
1983,59,Bruce Kuczenski,kuczebr01
1983,62,Tom Piotrowski,piotrto01
1983,75,Ron Crevier,creviro01
1983,77,Peter Thibeaux,thibepe01
1983,82,Mark Jones,jonesma02
1983,90,Brant Weidner,weidnbr01
1983,91,Carlos Clark,clarkca01
1983,97,Manute Bol,bolma01
1983,101,Ken Austin,austike01
1983,102,Jim Lampley,lamplji01
1983,139,Sedale Threatt,threase01
1983,152,Dane Suttle,suttlda01
1984,1,Hakeem Olajuwon,olajuha01
1984,2,Sam Bowie,bowiesa01
1984,3,Michael Jordan,jordami01
1984,4,Sam Perkins,perkisa01
1984,5,Charles Barkley,barklch01
1984,6,Melvin Turpin,turpime01
1984,7,Alvin Robertson,roberal01
1984,8,Lancaster Gordon,gordola01
1984,9,Otis Thorpe,thorpot01
1984,10,Leon Wood,woodle01
1984,11,Kevin Willis,willike02
1984,12,Tim McCormick,mccorti01
1984,13,Jay Humphries,humphja01
1984,14,Michael Cage,cagemi01
1984,15,Terence Stansbury,stanste01
1984,16,John Stockton,stockjo01
1984,17,Jeff Turner,turneje01
1984,18,Vern Fleming,flemive01
1984,19,Bernard Thompson,thompbe01
1984,20,Tony Campbell,campbto01
1984,21,Kenny Fields,fieldke01
1984,22,Tom Sewell,sewelto01
1984,23,Earl Jones,jonesea01
1984,24,Michael Young,youngmi01
1984,25,Devin Durrant,durrade01
1984,27,Ron Anderson,anderro01
1984,28,Cory Blackwell,blackco01
1984,29,Stuart Gray,grayst01
1984,30,Steve Burtt,burttst01
1984,31,Jay Murphy,murphja01
