1981,61,Pétur Guðmundsson,gudmupe01,petur-gudmundsson-1
1981,66,Craig Dykema,dykemcr01,craig-dykema-1
1981,76,Lewis Lloyd,lloydle01,lewis-lloyd-1
1981,78,Kenny Dennard,dennake01,kenny-dennard-1
1981,81,Larry Spriggs,sprigla01,larry-spriggs-1
1981,85,Pete Verhoeven,verhope01,pete-verhoeven-1
1981,86,Alex Bradley,bradlal02,alex-bradley-1
1981,88,Kevin McKenna,mckenke01,kevin-mckenna-1
1981,95,Joe Cooper,coopejo01,joe-cooper-1
1981,102,Hank McDowell,mcdowha01,hank-mcdowell-1
1981,103,Garry Witts,wittsga01,garry-witts-1
1981,130,Roger Burkman,burkmro01,roger-burkman-1
1981,150,Clinton Wheeler,wheelcl01,
1981,165,Bobby Cattage,cattabo01,bobby-cattage-1
1981,211,Derrick Rowland,rowlade01,
1982,1,James Worthy,worthja01,james-worthy-1
1982,2,Terry Cummings,cummite01,terry-cummings-1
1982,3,Dominique Wilkins,wilkido01,dominique-wilkins-1
1982,4,Bill Garnett,garnebi02,bill-garnett-1
1982,5,LaSalle Thompson,thompla01,lasalle-thompson-1
1982,6,Trent Tucker,tucketr01,trent-tucker-1
1982,7,Quintin Dailey,dailequ01,quintin-dailey-1
1982,8,Clark Kellogg,kellocl01,clark-kellogg-1
1982,9,Cliff Levingston,levincl01,cliff-levingston-1
1982,10,Keith Edmonson,edmonke01,keith-edmonson-1
1982,11,Fat Lever,leverfa01,fat-lever-1
1982,12,John Bagley,baglejo01,john-bagley-1
1982,13,Sleepy Floyd,floydsl01,sleepy-floyd-1
1982,14,Lester Conner,connele01,lester-conner-1
1982,15,David Thirdkill,thirdda01,david-thirdkill-1
1982,16,Terry Teagle,teaglte01,terry-teagle-1
1982,17,Brook Steppe,steppbr01,brook-steppe-1
1982,18,Ricky Pierce,piercri01,ricky-pierce-1
1982,19,Rob Williams,williro02,rob-williams-1
1982,20,Paul Pressey,presspa01,paul-pressey-1
1982,21,Eddie Phillips,philled01,eddie-phillips-1
1982,22,Mark McNamara,mcnamma01,mark-mcnamara-1
1982,23,Darren Tillis,tillida01,darren-tillis-1
1982,24,Oliver Robinson,robinol01,oliver-robinson-1
1982,25,Bryan Warrick,warribr01,bryan-warrick-1
1982,27,Fred Roberts,roberfr01,fred-roberts-1
1982,28,Dave Magley,magleda01,dave-magley-1
1982,29,Scott Hastings,hastisc01,scott-hastings-1
1982,30,Wallace Bryant,bryanwa01,wallace-bryant-1
1982,31,Rod Higgins,higgiro01,rod-higgins-1
1982,32,Richard Anderson,anderri01,richard-anderson-1
1982,33,Linton Townes,towneli01,linton-townes-1
1982,34,Vince Taylor,taylovi01,vince-taylor-1
1982,35,Derek Smith,smithde02,derek-smith-1
1982,36,J.J. Anderson,anderjj01,jj-anderson-1
1982,37,Audie Norris,norriau01,audie-norris-1
1982,38,Wayne Sappleton,sapplwa01,wayne-sappleton-1
1982,40,Guy Morgan,morgagu01,guy-morgan-1
1982,41,Dwight Anderson,anderdw01,dwight-anderson-1
1982,42,Jeff Taylor,tayloje01,jeff-taylor-1
1982,43,Jose Slaughter,slaugjo01,jose-slaughter-1
1982,44,Mike Gibson,gibsomi01,
1982,45,Russ Schoene,schoeru01,russ-schoene-1
1982,47,Michael Wilson,wilsomi01,michael-wilson-1
1982,48,Craig Hodges,hodgecr01,craig-hodges-1
1982,50,Corny Thompson,thompco01,corny-thompson-1
1982,51,Jim Johnstone,johnsji01,jim-johnstone-1
1982,55,Jerry Eaves,eavesje01,jerry-eaves-1
1982,56,Joe Kopicki,kopicjo01,joe-kopicki-1
1982,60,Chris Engler,englech01,chris-engler-1
1982,61,Charles Pittman,pittmch01,charles-pittman-1
1982,63,Chuck Nevitt,nevitch01,chuck-nevitt-1
1982,65,John Greig,greigjo01,john-greig-1
1982,69,Perry Moss,mosspe01,perry-moss-1
1982,72,Mark Eaton,eatonma01,mark-eaton-1
1982,74,Mike Sanders,sandemi01,mike-sanders-1
1982,76,Chuck Aleksinas,aleksch01,chuck-aleksinas-1
1982,78,Walker Russell,russewa01,walker-russell-1
1982,82,Tony Brown,brownto01,tony-brown-1
1982,86,Rory White,whitero01,rory-white-1
1982,138,John Schweitz,schwejo01,john-schweitz-1
1982,140,Eddie Hughes,hugheed01,eddie-hughes-1
1982,166,Ed Nealy,nealyed01,ed-nealy-1
1982,221,Dale Wilkinson,wilkida01,dale-wilkinson-1
1983,1,Ralph Sampson,sampsra01,ralph-sampson-1
1983,2,Steve Stipanovich,stipast01,steve-stipanovich-1
1983,3,Rodney McCray,mccraro01,rodney-mccray-1
1983,4,Byron Scott,scottby01,byron-scott-1
1983,5,Sidney Green,greensi02,sidney-green-1
1983,6,Russell Cross,crossru01,russell-cross-1
1983,7,Thurl Bailey,baileth01,thurl-bailey-1
1983,8,Antoine Carr,carran01,antoine-carr-1
1983,9,Dale Ellis,ellisda01,dale-ellis-1
1983,10,Jeff Malone,malonje01,jeff-malone-1
1983,11,Derek Harper,harpede01,derek-harper-1
1983,12,Darrell Walker,walkeda01,darrell-walker-1
1983,13,Ennis Whatley,whatlen01,ennis-whatley-1
1983,14,Clyde Drexler,drexlcl01,clyde-drexler-1
1983,15,Howard Carter,carteho01,howard-carter-1
1983,16,Jon Sundvold,sundvjo01,jon-sundvold-1
1983,17,Leo Rautins,rautile01,leo-rautins-1
1983,18,Randy Breuer,breuera01,randy-breuer-1
1983,19,John Paxson,paxsojo01,john-paxson-1
1983,20,Roy Hinson,hinsoro01,roy-hinson-1
1983,21,Greg Kite,kitegr01,greg-kite-1
1983,22,Randy Wittman,wittmra01,randy-wittman-1
1983,23,Mitchell Wiggins,wiggimi01,mitchell-wiggins-1
1983,24,Stewart Granger,grangst01,stewart-granger-1
1983,25,Sidney Lowe,lowesi01,sidney-lowe-1
1983,26,Leroy Combs,combsle01,leroy-combs-1
1983,27,John Garris,garrijo01,john-garris-1
1983,28,Rod Foster,fostero01,rod-foster-1
1983,29,Larry Micheaux,michela01,larry-micheaux-1
1983,30,Mark West,westma01,mark-west-1
1983,31,Doc Rivers,riverdo01,doc-rivers-1
1983,33,Dirk Minniefield,minnidi01,dirk-minniefield-1
1983,34,Guy Williams,willigu02,guy-williams-1
1983,35,Darrell Lockhart,lockhda01,darrell-lockhart-1
1983,36,Scooter McCray,mccrasc01,scooter-mccray-1
1983,38,Chris McNealy,mcneach01,chris-mcnealy-1
1983,39,Granville Waiters,waitegr01,granville-waiters-1
1983,40,Jim Thomas,thomaji01,jim-thomas-1
1983,43,Pace Mannion,mannipa01,pace-mannion-1
1983,46,Kevin Williams,willike01,kevin-williams-1
1983,48,Craig Ehlo,ehlocr01,craig-ehlo-1
1983,50,Paul Thompson,thomppa01,paul-thompson-1
1983,53,Mike Holton,holtomi01,mike-holton-1
1983,54,Bob Hansen,hansebo01,bob-hansen-1
1983,57,Darren Daye,dayeda01,darren-daye-1
1983,58,John Pinone,pinonjo01,john-pinone-1
1983,59,Bruce Kuczenski,kuczebr01,bruce-kuczenski-1
1983,62,Tom Piotrowski,piotrto01,tom-piotrowski-1
1983,75,Ron Crevier,creviro01,ron-crevier-1
1983,77,Peter Thibeaux,thibepe01,peter-thibeaux-1
1983,82,Mark Jones,jonesma02,mark-jones-1
1983,90,Brant Weidner,weidnbr01,brant-weidner-1
1983,91,Carlos Clark,clarkca01,carlos-clark-1
1983,97,Manute Bol,bolma01,
1983,101,Ken Austin,austike01,ken-austin-1
1983,102,Jim Lampley,lamplji01,jim-lampley-1
1983,139,Sedale Threatt,threase01,
1983,152,Dane Suttle,suttlda01,dane-suttle-1
1984,1,Hakeem Olajuwon,olajuha01,hakeem-olajuwon-1
1984,2,Sam Bowie,bowiesa01,sam-bowie-1
1984,3,Michael Jordan,jordami01,michael-jordan-1
1984,4,Sam Perkins,perkisa01,sam-perkins-1
1984,5,Charles Barkley,barklch01,charles-barkley-1
1984,6,Melvin Turpin,turpime01,melvin-turpin-1
1984,7,Alvin Robertson,roberal01,alvin-robertson-1
1984,8,Lancaster Gordon,gordola01,lancaster-gordon-1
1984,9,Otis Thorpe,thorpot01,otis-thorpe-1
1984,10,Leon Wood,woodle01,leon-wood-1
1984,11,Kevin Willis,willike02,kevin-willis-1
1984,12,Tim McCormick,mccorti01,tim-mccormick-1
1984,13,Jay Humphries,humphja01,jay-humphries-1
1984,14,Michael Cage,cagemi01,michael-cage-1
1984,15,Terence Stansbury,stanste01,terence-stansbury-1
1984,16,John Stockton,stockjo01,john-stockton-1
1984,17,Jeff Turner,turneje01,jeff-turner-1
1984,18,Vern Fleming,flemive01,vern-fleming-1
1984,19,Bernard Thompson,thompbe01,bernard-thompson-1
1984,20,Tony Campbell,campbto01,tony-campbell-1
1984,21,Kenny Fields,fieldke01,kenny-fields-1
1984,22,Tom Sewell,sewelto01,tom-sewell-1
1984,23,Earl Jones,jonesea01,earl-jones-1
1984,24,Michael Young,youngmi01,michael-young-1
1984,25,Devin Durrant,durrade01,devin-durrant-1
1984,27,Ron Anderson,anderro01,ron-anderson-1
1984,28,Cory Blackwell,blackco01,cory-blackwell-1
1984,29,Stuart Gray,grayst01,stuart-gray-1
1984,30,Steve Burtt,burttst01,steve-burtt-1
1984,31,Jay Murphy,murphja01,jay-murphy-1
1984,33,Steve Colter,coltest01,steve-colter-1
1984,35,Othell Wilson,wilsoot01,othell-wilson-1
1984,36,Charles Jones,jonesch02,charles-jones-1
1984,37,Ben Coleman,colembe01,ben-coleman-1
1984,38,Charlie Sitton,sittoch01,charlie-sitton-1
1984,39,Danny Young,youngda01,danny-young-1
1984,41,Tom Sluby,slubyto01,tom-sluby-1
1984,42,Willie White,whitewi01,willie-white-1
1984,45,Gary Plummer,plummga01,gary-plummer-1
1984,46,Jerome Kersey,kerseje01,
1984,50,Ben McDonald,mcdonbe01,ben-mcdonald-1
1984,51,Jim Petersen,peterji01,jim-petersen-1
1984,57,Joe Binion,biniojo01,joe-binion-1
1984,61,Jeff Cross,crossje01,jeff-cross-1
1984,62,David Pope,popeda01,
1984,68,Butch Graves,gravebu01,butch-graves-1
1984,70,Rick Carlisle,carliri01,rick-carlisle-1
1984,71,Ralph Jackson,jacksra01,ralph-jackson-1
1984,76,Jim Grandholm,grandji01,jim-grandholm-1
1984,80,Carl Henry,henryca01,carl-henry-1
1984,86,Jim Rowinski,rowinji01,jim-rowinski-1
1984,87,Bob Thornton,thornbo01,bob-thornton-1
1984,90,Ozell Jones,jonesoz01,ozell-jones-1
1984,120,McKinley Singleton,singlmc01,mckinley-singleton-1
1984,133,Eddie Lee Wilkins,wilkied01,
1984,140,Kenton Edelin,edelike01,kenton-edelin-1
1984,156,Ken Bannister,bannike01,ken-bannister-1
1984,185,Brian Martin,martibr01,brian-martin-1
1985,1,Patrick Ewing,ewingpa01,patrick-ewing-1
1985,2,Wayman Tisdale,tisdawa01,wayman-tisdale-1
1985,3,Benoit Benjamin,benjabe01,benoit-benjamin-1
