name,slug,college_slug,draft_year,draft_pick,season,school_name,conf_abbr,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,sos-dum,sos
Alex Stivrins,stivral01,alex-stivrins-1,1985,75,1981-82,Creighton,MVC,25,23,30.1,3.6,8.0,.443,,,,,,,0.8,2.1,.358,,,7.5,3.0,1.3,0.6,3.6,3.1,7.9,,5.76
Alex Stivrins,stivral01,alex-stivrins-1,1985,75,1983-84,Colorado,Big 8,29,29,33.8,4.9,8.9,.556,,,,,,,2.3,4.2,.545,,,9.2,2.9,1.5,1.0,2.8,2.7,12.1,,6.71
Alex Stivrins,stivral01,alex-stivrins-1,1985,75,1984-85,Colorado,Big 8,27,27,35.8,6.3,12.4,.509,,,,,,,3.1,4.8,.659,,,11.7,3.7,1.4,1.2,2.6,2.7,15.7,,5.28
Mark Davis,davisma01,mark-davis-1,1985,79,1981-82,Old Dominion,ECACS,22,1,7.8,1.2,2.5,.473,,,,,,,0.2,0.4,.625,,,1.5,0.7,0.1,0.0,0.8,1.6,2.6,,1.04
Mark Davis,davisma01,mark-davis-1,1985,79,1982-83,Old Dominion,Sun Belt,26,0,13.0,1.8,3.9,.471,,,,,,,0.3,0.6,.600,,,1.9,1.3,0.6,0.1,1.0,1.6,4.1,,2.57
Mark Davis,davisma01,mark-davis-1,1985,79,1983-84,Old Dominion,Sun Belt,31,31,33.3,5.8,11.1,.528,,,,,,,2.5,3.5,.738,,,5.3,2.5,1.0,0.5,2.0,2.8,14.2,,2.14
Mark Davis,davisma01,mark-davis-1,1985,79,1984-85,Old Dominion,Sun Belt,31,,33.0,5.5,11.2,.489,,,,,,,3.0,3.8,.790,,,4.5,3.3,1.2,0.1,2.1,2.5,14.0,,6.10
Scott Roth,rothsc01,scott-roth-1,1985,82,1981-82,Wisconsin,Big Ten,25,2,13.2,1.9,4.1,.461,,,,,,,0.4,0.7,.556,,,1.9,1.1,0.4,0.0,0.8,1.7,4.2,,4.34
Scott Roth,rothsc01,scott-roth-1,1985,82,1982-83,Wisconsin,Big Ten,28,21,25.4,2.1,5.6,.378,,,,,,,1.5,2.1,.717,,,3.4,2.4,0.7,0.0,2.0,2.3,5.8,,7.85
Scott Roth,rothsc01,scott-roth-1,1985,82,1983-84,Wisconsin,Big Ten,28,28,34.8,5.4,10.9,.497,,,,,,,2.7,3.4,.792,,,3.0,3.1,1.5,0.0,2.1,2.3,13.5,,6.30
Scott Roth,rothsc01,scott-roth-1,1985,82,1984-85,Wisconsin,Big Ten,28,,33.1,7.1,13.0,.542,,,,,,,4.2,5.6,.750,,,3.1,2.6,0.9,0.1,2.6,2.0,18.3,,7.35
Delaney Rudd,ruddde01,delaney-rudd-1,1985,83,1981-82,Wake Forest,ACC,22,1,6.8,0.5,1.4,.333,,,,,,,0.2,0.5,.500,,,0.2,1.0,0.2,0.0,0.6,0.9,1.1,,7.59
Delaney Rudd,ruddde01,delaney-rudd-1,1985,83,1982-83,Wake Forest,ACC,32,32,31.4,5.3,10.1,.528,4.9,9.2,.536,0.4,0.9,.448,1.7,2.2,.768,,,2.0,3.1,1.0,0.1,1.9,2.4,12.8,,6.53
Delaney Rudd,ruddde01,delaney-rudd-1,1985,83,1983-84,Wake Forest,ACC,31,31,32.6,5.5,10.6,.518,,,,,,,2.4,2.7,.859,,,1.8,2.6,0.9,0.0,1.7,2.4,13.3,,8.45
Delaney Rudd,ruddde01,delaney-rudd-1,1985,83,1984-85,Wake Forest,ACC,29,29,34.5,7.2,15.6,.465,,,,,,,2.2,2.7,.818,,,2.6,2.8,1.0,0.1,1.9,3.2,16.7,,6.98
John Battle,battljo01,john-battle-1,1985,84,1981-82,Rutgers,EAA,29,,12.9,1.0,2.3,.433,,,,,,,0.4,1.0,.429,,,1.0,0.8,0.3,0.0,,1.1,2.4,,-0.10
John Battle,battljo01,john-battle-1,1985,84,1982-83,Rutgers,A-10,31,,14.3,2.2,4.5,.489,1.9,3.9,.488,0.3,0.6,.500,1.2,1.6,.725,,,1.5,,0.4,0.0,,1.5,5.6,,1.26
John Battle,battljo01,john-battle-1,1985,84,1983-84,Rutgers,A-10,25,25,32.6,8.3,16.8,.493,,,,,,,4.4,6.1,.725,,,3.1,1.4,1.2,0.1,,2.0,21.0,,-0.95
John Battle,battljo01,john-battle-1,1985,84,1984-85,Rutgers,A-10,29,29,35.1,8.0,16.2,.491,7.4,14.2,.519,0.6,2.0,.293,4.4,6.1,.729,,,4.0,2.6,2.6,0.2,,2.6,20.4,,-0.58
Spud Webb,webbsp01,spud-webb-1,1985,87,1983-84,NC State,ACC,33,,29.7,3.9,8.5,.459,,,,,,,2.0,2.7,.761,,,1.8,6.0,1.9,0.3,2.6,2.7,9.8,,7.02
Spud Webb,webbsp01,spud-webb-1,1985,87,1984-85,NC State,ACC,33,,27.8,4.2,8.8,.481,,,,,,,2.6,3.4,.761,,,2.0,5.3,2.0,0.1,2.3,2.6,11.1,,6.78
Pete Williams,willipe01,pete-williams-1,1985,89,1983-84,Arizona,Pac-10,28,28,35.8,5.4,8.9,.604,,,,,,,3.8,5.8,.644,,,9.9,0.6,1.0,0.7,2.2,3.5,14.5,,4.21
Pete Williams,willipe01,pete-williams-1,1985,89,1984-85,Arizona,Pac-10,31,,32.1,4.7,7.7,.607,,,,,,,3.1,5.5,.561,,,8.5,1.2,1.2,0.7,1.6,2.5,12.5,,4.44
Derrick Gervin,gervide01,derrick-gervin-1,1985,90,1982-83,UTSA,Ind,25,20,26.2,5.6,10.7,.522,,,,,,,2.7,3.7,.728,,,7.1,1.0,0.6,0.5,2.4,3.3,13.9,,-1.05
Derrick Gervin,gervide01,derrick-gervin-1,1985,90,1983-84,UTSA,Ind,27,26,32.0,8.9,16.2,.546,,,,,,,5.5,7.2,.763,,,8.9,0.9,0.8,1.0,2.1,3.2,23.2,,-4.07
Derrick Gervin,gervide01,derrick-gervin-1,1985,90,1984-85,UTSA,Ind,28,28,33.9,9.7,17.3,.563,,,,,,,6.2,7.6,.817,,,9.6,1.8,1.4,0.9,2.5,2.8,25.6,,-6.42
Cozell McQueen,mcqueco01,cozell-mcqueen-1,1985,91,1981-82,NC State,ACC,32,,17.3,0.8,1.4,.545,,,,,,,0.8,1.4,.543,,,2.4,0.3,0.1,0.5,0.6,1.9,2.3,,4.95
Cozell McQueen,mcqueco01,cozell-mcqueen-1,1985,91,1982-83,NC State,ACC,36,,24.6,1.5,3.4,.431,,,,,,,0.5,0.9,.576,,,5.6,0.9,0.4,0.9,1.0,3.2,3.5,,8.66
Cozell McQueen,mcqueco01,cozell-mcqueen-1,1985,91,1983-84,NC State,ACC,33,33,32.5,2.7,5.5,.500,,,,,,,1.9,3.1,.634,,,9.0,1.3,0.3,1.3,1.4,3.2,7.4,,7.02
Cozell McQueen,mcqueco01,cozell-mcqueen-1,1985,91,1984-85,NC State,ACC,33,33,33.7,3.3,5.9,.551,,,,,,,1.7,2.8,.626,,,6.9,0.7,0.4,0.9,1.5,2.8,8.3,,6.78
Dexter Shouse,shousde01,dexter-shouse-1,1985,92,1983-84,South Alabama,Sun Belt,30,12,31.0,4.6,10.2,.450,,,,,,,2.3,2.8,.824,,,2.0,3.9,0.7,0.1,2.1,2.0,11.5,,1.28
Dexter Shouse,shousde01,dexter-shouse-1,1985,92,1984-85,South Alabama,Sun Belt,28,24,34.4,6.1,12.1,.501,,,,,,,2.1,2.8,.769,,,3.0,4.2,2.8,0.8,3.0,2.9,14.3,,1.02
Ralph Lewis,lewisra01,ralph-lewis-1,1985,139,1981-82,La Salle,ECC,25,,,3.3,7.0,.477,,,,,,,2.4,4.0,.610,,,6.3,1.4,1.4,0.6,,2.0,9.1,,-2.19
Ralph Lewis,lewisra01,ralph-lewis-1,1985,139,1982-83,La Salle,ECC,32,32,33.5,4.9,10.6,.460,,,,,,,3.3,4.9,.671,,,8.1,0.9,1.4,0.5,1.5,2.7,13.1,,-2.91
Ralph Lewis,lewisra01,ralph-lewis-1,1985,139,1983-84,La Salle,MAAC,31,,37.0,7.6,13.0,.587,,,,,,,5.3,7.1,.745,,,9.1,0.8,2.3,0.7,1.7,2.4,20.6,,-0.29
Ralph Lewis,lewisra01,ralph-lewis-1,1985,139,1984-85,La Salle,MAAC,28,28,38.0,7.2,12.9,.558,,,,,,,4.4,5.9,.739,,,9.6,0.9,1.9,1.4,2.4,3.1,18.7,,-2.29
Michael Phelps,phelpmi01,michael-phelps-1,1985,144,1981-82,Alcorn State,SWAC,29,28,25.7,4.2,8.7,.486,,,,,,,1.8,2.9,.600,,,3.7,1.6,1.6,0.3,1.7,2.4,10.2,,-9.49
Michael Phelps,phelpmi01,michael-phelps-1,1985,144,1982-83,Alcorn State,SWAC,30,,28.7,5.4,11.3,.476,,,,,,,3.1,4.4,.710,,,3.9,,,,,,13.9,,-9.16
Michael Phelps,phelpmi01,michael-phelps-1,1985,144,1983-84,Alcorn State,SWAC,25,21,27.3,5.9,11.2,.527,,,,,,,4.8,6.4,.756,,,3.8,2.2,1.2,0.2,2.5,2.0,16.7,,-7.13
Michael Phelps,phelpmi01,michael-phelps-1,1985,144,1984-85,Alcorn State,SWAC,30,,28.0,7.1,14.4,.494,,,,,,,3.6,5.1,.695,,,3.4,3.0,,,,,17.8,,-5.58
Brad Daugherty,daughbr01,brad-daugherty-1,1986,1,1982-83,UNC,ACC,35,,23.3,3.1,5.6,.558,3.1,5.6,.561,0.0,0.0,.000,1.9,2.9,.663,,,5.2,0.9,0.3,1.0,1.5,3.0,8.2,,7.68
Brad Daugherty,daughbr01,brad-daugherty-1,1986,1,1983-84,UNC,ACC,30,,27.4,4.3,7.0,.610,,,,,,,2.0,2.9,.678,,,5.6,1.4,0.6,1.0,1.9,3.1,10.5,,8.60
Brad Daugherty,daughbr01,brad-daugherty-1,1986,1,1984-85,UNC,ACC,36,,34.7,6.6,10.6,.625,,,,,,,4.1,5.5,.742,,,9.7,2.1,0.8,1.3,2.9,3.1,17.3,,8.12
Brad Daugherty,daughbr01,brad-daugherty-1,1986,1,1985-86,UNC,ACC,34,34,32.0,8.4,12.9,.648,,,,,,,3.5,5.1,.684,,,9.0,1.8,1.0,1.1,2.3,2.7,20.2,,8.51
Chris Washburn,washbch01,chris-washburn-1,1986,3,1984-85,NC State,ACC,7,6,25.9,4.6,9.6,.478,,,,,,,1.6,3.7,.423,,,5.9,1.9,1.0,1.1,2.4,2.0,10.7,,6.78
Chris Washburn,washbch01,chris-washburn-1,1986,3,1985-86,NC State,ACC,34,34,34.9,7.1,12.6,.562,,,,,,,3.4,5.2,.665,,,6.7,0.9,0.9,0.9,2.4,1.9,17.6,,10.39
Chuck Person,persoch01,chuck-person-1,1986,4,1982-83,Auburn,SEC,28,20,22.7,4.2,7.8,.541,,,,,,,0.9,1.2,.758,,,4.6,1.3,0.5,0.2,1.3,2.0,9.3,,10.62
Chuck Person,persoch01,chuck-person-1,1986,4,1983-84,Auburn,SEC,31,31,34.8,8.2,15.2,.543,,,,,,,2.7,3.7,.728,,,8.0,1.2,1.2,0.3,2.5,2.0,19.1,,7.90
Chuck Person,persoch01,chuck-person-1,1986,4,1984-85,Auburn,SEC,34,,36.5,9.8,18.1,.544,,,,,,,2.3,3.1,.738,,,8.9,2.0,1.2,0.5,2.4,2.3,22.0,,7.92
Chuck Person,persoch01,chuck-person-1,1986,4,1985-86,Auburn,SEC,33,33,35.7,9.4,18.1,.519,,,,,,,2.7,3.4,.804,,,7.9,0.9,0.9,0.4,2.2,2.5,21.5,,9.65
Kenny Walker,walkeke01,kenny-walker-1,1986,5,1982-83,Kentucky,SEC,31,3,19.3,2.8,4.6,.611,,,,,,,1.6,2.5,.662,,,4.9,0.6,0.4,0.6,1.1,2.1,7.3,,10.48
Kenny Walker,walkeke01,kenny-walker-1,1986,5,1983-84,Kentucky,SEC,34,33,32.0,5.0,9.1,.555,,,,,,,2.4,3.2,.734,,,5.9,1.3,0.9,0.6,1.2,2.5,12.4,,10.18
Kenny Walker,walkeke01,kenny-walker-1,1986,5,1984-85,Kentucky,SEC,31,31,36.7,7.9,14.2,.559,,,,,,,7.0,9.2,.768,,,10.2,1.3,0.9,1.2,1.7,2.9,22.9,,9.57
Kenny Walker,walkeke01,kenny-walker-1,1986,5,1985-86,Kentucky,SEC,36,36,34.8,7.2,12.4,.582,,,,,,,5.6,7.3,.764,,,7.7,1.4,1.3,1.2,1.5,2.5,20.0,,9.63
William Bedford,bedfowi01,william-bedford-1,1986,6,1983-84,Memphis,Metro,26,,26.3,4.2,7.2,.578,,,,,,,1.2,2.2,.536,,,5.3,0.6,0.3,2.2,1.2,2.8,9.5,,4.80
William Bedford,bedfowi01,william-bedford-1,1986,6,1984-85,Memphis,Metro,35,,31.4,5.1,9.4,.542,,,,,,,1.9,2.9,.673,,,7.6,0.9,0.4,2.6,1.9,2.5,12.2,,5.71
William Bedford,bedfowi01,william-bedford-1,1986,6,1985-86,Memphis,Metro,32,,32.4,7.1,12.2,.584,,,,,,,3.1,4.9,.628,,,8.5,0.6,0.3,2.7,1.6,2.3,17.3,,5.48
Roy Tarpley,tarplro01,roy-tarpley-1,1986,7,1982-83,Michigan,Big Ten,26,2,9.1,1.3,3.3,.407,,,,,,,0.8,1.5,.579,,,3.2,0.4,0.3,0.7,1.0,1.2,3.5,,5.17
Roy Tarpley,tarplro01,roy-tarpley-1,1986,7,1983-84,Michigan,Big Ten,33,20,28.2,5.0,9.5,.527,,,,,,,2.5,3.1,.794,,,8.1,0.9,0.6,2.1,1.8,2.8,12.5,,7.34
Roy Tarpley,tarplro01,roy-tarpley-1,1986,7,1984-85,Michigan,Big Ten,30,30,33.9,7.4,14.2,.525,,,,,,,4.1,5.3,.775,,,10.4,1.6,0.9,2.2,2.9,3.1,19.0,,8.67
Roy Tarpley,tarplro01,roy-tarpley-1,1986,7,1985-86,Michigan,Big Ten,33,31,31.7,6.2,11.5,.541,,,,,,,3.5,4.3,.811,,,8.8,1.4,1.5,2.9,2.6,3.1,15.9,,9.55
Ron Harper,harpero01,ron-harper-1,1986,8,1982-83,Miami (OH),MAC,28,,31.7,5.3,10.6,.497,,,,,,,2.3,3.4,.674,,,7.0,2.2,2.2,1.0,3.0,2.5,12.9,,-0.61
Ron Harper,harpero01,ron-harper-1,1986,8,1983-84,Miami (OH),MAC,30,,33.0,6.6,12.2,.537,,,,,,,3.1,5.5,.570,,,7.6,2.1,1.4,1.0,2.2,2.8,16.3,,0.34
Ron Harper,harpero01,ron-harper-1,1986,8,1984-85,Miami (OH),MAC,31,,36.9,10.1,18.6,.541,,,,,,,4.8,7.2,.661,,,10.7,2.5,2.6,1.5,3.1,3.3,24.9,,2.40
Ron Harper,harpero01,ron-harper-1,1986,8,1985-86,Miami (OH),MAC,31,,36.9,10.1,18.5,.545,,,,,,,4.3,6.5,.665,,,11.7,4.3,3.3,2.3,2.8,2.7,24.4,,-0.07
Brad Sellers,sellebr01,brad-sellers-1,1986,9,1981-82,Wisconsin,Big Ten,27,27,35.7,6.2,13.0,.476,,,,,,,1.6,2.5,.657,,,9.4,1.3,0.8,1.9,2.4,2.9,14.0,,4.34
Brad Sellers,sellebr01,brad-sellers-1,1986,9,1982-83,Wisconsin,Big Ten,28,28,36.0,6.8,13.3,.508,6.8,13.3,.509,0.0,0.0,.000,2.9,3.5,.828,,,7.8,1.3,0.8,2.1,2.3,3.2,16.4,,7.85
Brad Sellers,sellebr01,brad-sellers-1,1986,9,1983-84,Ohio State,Big Ten,,,,,,,,,,,,,,,,,,,,,,,,,,7.92
Brad Sellers,sellebr01,brad-sellers-1,1986,9,1984-85,Ohio State,Big Ten,30,28,32.6,6.2,11.8,.525,,,,,,,3.2,4.2,.776,,,8.8,1.0,0.8,3.0,2.2,3.0,15.6,,8.24
Brad Sellers,sellebr01,brad-sellers-1,1986,9,1985-86,Ohio State,Big Ten,33,33,37.4,7.1,14.9,.476,,,,,,,5.6,6.8,.819,,,12.6,1.6,1.3,2.9,2.9,2.9,19.8,,9.69
Johnny Dawkins,dawkijo01,johnny-dawkins-1,1986,10,1982-83,Duke,ACC,28,28,35.8,7.4,14.8,.500,6.7,12.9,.522,0.7,1.9,.352,2.6,3.8,.682,,,4.1,4.8,0.9,0.4,3.7,2.3,18.1,,6.42
Johnny Dawkins,dawkijo01,johnny-dawkins-1,1986,10,1983-84,Duke,ACC,34,34,38.4,7.7,16.1,.481,,,,,,,3.9,4.7,.831,,,4.1,4.1,1.1,0.1,3.4,1.9,19.4,,6.92
Johnny Dawkins,dawkijo01,johnny-dawkins-1,1986,10,1984-85,Duke,ACC,31,31,36.0,7.3,14.7,.495,,,,,,,4.3,5.4,.795,,,4.5,5.0,1.6,0.2,2.9,2.1,18.8,,7.38
Johnny Dawkins,dawkijo01,johnny-dawkins-1,1986,10,1985-86,Duke,ACC,40,40,33.1,8.3,15.1,.549,,,,,,,3.7,4.5,.812,,,3.6,3.2,1.3,0.1,2.7,1.9,20.2,,9.49
John Salley,sallejo01,john-salley-1,1986,11,1982-83,Georgia Tech,ACC,27,27,30.7,3.9,7.7,.502,,,,,,,3.8,5.9,.638,,,5.7,1.3,0.7,1.3,2.6,3.6,11.5,,7.49
John Salley,sallejo01,john-salley-1,1986,11,1983-84,Georgia Tech,ACC,29,29,34.2,4.3,7.4,.589,,,,,,,3.1,4.6,.674,,,5.8,2.5,0.8,2.3,2.8,3.1,11.8,,8.61
John Salley,sallejo01,john-salley-1,1986,11,1984-85,Georgia Tech,ACC,35,35,35.2,5.5,8.8,.627,,,,,,,3.0,4.7,.636,,,7.1,2.7,0.8,2.3,2.8,2.9,14.0,,7.41
John Salley,sallejo01,john-salley-1,1986,11,1985-86,Georgia Tech,ACC,34,34,33.7,5.1,8.4,.606,,,,,,,3.0,5.0,.594,,,6.7,3.4,0.8,1.7,,3.2,13.1,,11.70
John Williams,willijo02,john-williams-1,1986,12,1984-85,LSU,SEC,29,,32.2,5.6,10.5,.534,,,,,,,2.1,2.8,.765,,,6.6,3.0,1.4,0.3,2.6,3.1,13.4,,8.00
John Williams,willijo02,john-williams-1,1986,12,1985-86,LSU,SEC,37,,34.5,7.3,14.6,.498,,,,,,,3.2,4.2,.774,,,8.5,3.3,1.2,0.6,2.6,2.9,17.8,,10.71
Pearl Washington,washipe01,pearl-washington-1,1986,13,1983-84,Syracuse,Big East,32,32,33.6,5.8,10.6,.544,,,,,,,2.8,4.3,.662,,,2.6,6.2,2.4,0.1,3.5,3.1,14.4,,5.56
Pearl Washington,washipe01,pearl-washington-1,1986,13,1984-85,Syracuse,Big East,31,31,34.1,5.5,10.9,.499,,,,,,,4.5,5.7,.784,,,2.9,6.1,2.0,0.1,4.5,2.5,15.4,,7.04
Pearl Washington,washipe01,pearl-washington-1,1986,13,1985-86,Syracuse,Big East,32,32,32.3,6.8,12.6,.535,,,,,,,3.8,5.3,.726,,,2.5,7.8,2.6,0.0,3.3,2.7,17.3,,6.65
Walter Berry,berrywa01,walter-berry-1,1986,14,1984-85,St. John's (NY),Big East,35,,34.3,6.6,11.8,.558,,,,,,,3.8,5.3,.717,,,8.7,1.0,0.8,1.3,2.5,2.5,17.0,,7.06
Walter Berry,berrywa01,walter-berry-1,1986,14,1985-86,St. John's (NY),Big East,36,36,36.6,9.1,15.2,.598,,,,,,,4.8,6.9,.702,,,11.1,1.0,0.8,2.1,3.1,2.6,23.0,,6.26
Dell Curry,curryde01,dell-curry-1,1986,15,1982-83,Virginia Tech,Metro,32,32,32.0,6.2,13.0,.475,,,,,,,2.1,2.5,.850,,,3.0,3.3,1.8,0.6,3.2,2.4,14.5,,3.41
Dell Curry,curryde01,dell-curry-1,1986,15,1983-84,Virginia Tech,Metro,35,,33.3,8.4,16.0,.522,,,,,,,2.5,3.3,.759,,,4.1,2.7,2.5,0.6,3.2,2.4,19.3,,5.46
Dell Curry,curryde01,dell-curry-1,1986,15,1984-85,Virginia Tech,Metro,29,,33.4,7.8,16.1,.482,7.6,15.9,.480,0.1,0.2,.571,2.6,3.4,.758,,,5.8,3.1,2.4,0.7,2.9,3.1,18.1,,2.40
Dell Curry,curryde01,dell-curry-1,1986,15,1985-86,Virginia Tech,Metro,30,,37.2,10.2,19.2,.529,,,,,,,3.7,4.7,.789,,,6.8,3.8,2.6,0.6,3.0,2.7,24.1,,5.65
Maurice Martin,martima01,maurice-martin-1,1986,16,1982-83,St. Joseph's,A-10,28,28,33.4,3.8,7.3,.517,,,,,,,2.9,4.1,.719,,,4.8,4.3,2.6,0.8,3.9,3.8,10.4,,1.92
Maurice Martin,martima01,maurice-martin-1,1986,16,1983-84,St. Joseph's,A-10,28,26,33.1,6.8,11.8,.578,,,,,,,2.1,2.9,.707,,,5.0,3.6,2.4,2.4,0.9,3.3,15.6,,-0.14
Maurice Martin,martima01,maurice-martin-1,1986,16,1984-85,St. Joseph's,A-10,28,27,32.8,6.1,12.5,.490,5.3,10.5,.507,0.8,2.0,.404,3.4,4.5,.754,,,6.2,3.5,1.9,0.8,1.0,3.5,16.5,,0.96
Maurice Martin,martima01,maurice-martin-1,1986,16,1985-86,St. Joseph's,A-10,30,28,33.2,6.6,13.5,.488,,,,,,,4.6,6.1,.750,,,5.8,3.2,1.8,0.4,,3.2,17.8,,0.95
Harold Pressley,pressha01,harold-pressley-1,1986,17,1982-83,Villanova,Big East,32,,21.3,2.1,5.3,.388,,,,,,,0.3,0.8,.458,,,4.5,,,,,,4.5,,6.52
Harold Pressley,pressha01,harold-pressley-1,1986,17,1983-84,Villanova,Big East,31,,36.3,5.0,9.8,.515,,,,,,,2.5,3.8,.661,,,7.1,2.4,,,,,12.6,,6.13
Harold Pressley,pressha01,harold-pressley-1,1986,17,1984-85,Villanova,Big East,35,,34.0,4.7,9.7,.488,,,,,,,2.5,3.9,.644,,,7.9,2.5,,,,,12.0,,7.29
Harold Pressley,pressha01,harold-pressley-1,1986,17,1985-86,Villanova,Big East,37,,34.8,6.1,11.9,.507,,,,,,,4.6,6.1,.768,,,10.1,2.4,2.2,2.2,,,16.8,,6.26
Mark Alarie,alarima01,mark-alarie-1,1986,18,1982-83,Duke,ACC,28,28,28.0,4.6,9.4,.494,4.6,9.3,.498,0.0,0.1,.000,3.7,4.6,.813,,,6.5,1.1,0.6,0.8,2.5,3.5,13.0,,6.42
Mark Alarie,alarima01,mark-alarie-1,1986,18,1983-84,Duke,ACC,34,34,33.2,6.8,11.8,.575,,,,,,,3.9,5.2,.761,,,7.2,1.4,0.6,1.1,1.8,2.7,17.5,,6.92
Mark Alarie,alarima01,mark-alarie-1,1986,18,1984-85,Duke,ACC,31,31,30.2,6.6,11.4,.585,,,,,,,2.6,3.3,.792,,,5.1,1.6,0.8,0.6,1.9,2.5,15.9,,7.38
Mark Alarie,alarima01,mark-alarie-1,1986,18,1985-86,Duke,ACC,40,40,29.8,6.6,12.3,.535,,,,,,,4.1,4.9,.822,,,6.2,0.7,1.5,0.7,1.9,3.0,17.2,,9.49
Billy Thompson,thompbi01,billy-thompson-1,1986,19,1982-83,Louisville,Metro,36,0,19.7,2.9,5.9,.488,,,,,,,1.5,2.3,.654,,,3.9,1.2,0.4,1.1,1.9,2.7,7.3,,8.98
Billy Thompson,thompbi01,billy-thompson-1,1986,19,1983-84,Louisville,Metro,31,30,28.3,3.4,6.7,.507,,,,,,,2.3,3.2,.735,,,0.5,3.6,1.1,1.0,3.3,2.9,9.2,,8.05
Billy Thompson,thompbi01,billy-thompson-1,1986,19,1984-85,Louisville,Metro,37,36,34.1,5.9,11.5,.515,,,,,,,3.2,4.3,.747,,,8.4,4.2,0.7,1.4,4.4,3.2,15.1,,8.18
Billy Thompson,thompbi01,billy-thompson-1,1986,19,1985-86,Louisville,Metro,39,39,31.2,5.7,9.8,.576,,,,,,,3.6,5.0,.714,,,7.8,3.9,0.8,1.6,3.6,3.2,14.9,,10.41
Buck Johnson,johnsbu01,buck-johnson-1,1986,20,1982-83,Alabama,SEC,32,,26.1,3.3,6.8,.479,,,,,,,1.8,2.8,.636,,,4.5,1.0,0.9,0.7,2.3,3.3,8.3,,9.79
Buck Johnson,johnsbu01,buck-johnson-1,1986,20,1983-84,Alabama,SEC,28,28,37.2,6.5,12.7,.514,,,,,,,4.0,5.4,.730,,,8.5,1.4,1.2,0.9,2.7,2.9,17.0,,7.98
Buck Johnson,johnsbu01,buck-johnson-1,1986,20,1984-85,Alabama,SEC,33,33,35.5,6.3,11.3,.560,,,,,,,3.4,4.7,.712,,,9.4,1.5,0.9,0.9,2.5,2.9,16.0,,7.15
Buck Johnson,johnsbu01,buck-johnson-1,1986,20,1985-86,Alabama,SEC,29,,37.3,8.1,14.0,.577,,,,,,,4.4,5.3,.832,,,8.3,1.4,1.0,1.3,2.9,3.1,20.7,,9.09
Anthony Jones,jonesan01,anthony-jones-1,1986,21,1981-82,Georgetown,Big East,37,1,17.4,2.8,5.6,.493,,,,,,,1.2,2.0,.603,,,2.8,0.8,1.1,0.2,1.3,1.2,6.7,,6.34
Anthony Jones,jonesan01,anthony-jones-1,1986,21,1982-83,Georgetown,Big East,25,10,20.2,3.4,6.5,.528,,,,,,,0.6,1.7,.357,,,3.5,0.8,0.9,0.5,1.8,1.7,7.5,,5.41
Anthony Jones,jonesan01,anthony-jones-1,1986,21,1983-84,UNLV,PCAA,,,,,,,,,,,,,,,,,,,,,,,,,,3.85
Anthony Jones,jonesan01,anthony-jones-1,1986,21,1984-85,UNLV,PCAA,31,31,31.5,5.9,11.7,.500,,,,,,,1.3,2.2,.597,,,4.4,3.4,1.7,0.8,1.9,2.5,13.0,,0.18
Anthony Jones,jonesan01,anthony-jones-1,1986,21,1985-86,UNLV,PCAA,38,38,33.1,7.3,14.3,.510,,,,,,,2.3,3.1,.754,,,5.4,2.8,1.8,0.4,1.5,2.6,17.5,,4.34
Scott Skiles,skilesc01,scott-skiles-1,1986,22,1982-83,Michigan State,Big Ten,30,27,34.1,4.7,9.5,.493,3.9,7.9,.492,0.8,1.7,.500,2.3,2.8,.831,,,2.1,4.9,1.1,0.0,3.9,2.8,12.5,,6.40
Scott Skiles,skilesc01,scott-skiles-1,1986,22,1983-84,Michigan State,Big Ten,28,28,35.1,5.5,11.4,.480,,,,,,,3.5,4.3,.832,,,2.2,4.6,1.4,0.0,4.1,3.2,14.5,,6.62
Scott Skiles,skilesc01,scott-skiles-1,1986,22,1984-85,Michigan State,Big Ten,29,29,38.2,7.3,14.5,.505,,,,,,,3.1,3.9,.789,,,3.2,5.8,1.7,0.0,3.7,2.9,17.7,,7.70
Scott Skiles,skilesc01,scott-skiles-1,1986,22,1985-86,Michigan State,Big Ten,31,31,37.8,10.7,19.3,.554,,,,,,,6.1,6.7,.900,,,4.4,6.5,1.7,0.0,3.3,1.8,27.4,,7.98
Mark Price,pricema01,mark-price-1,1986,25,1982-83,Georgia Tech,ACC,28,28,36.4,7.2,16.5,.435,4.6,10.6,.432,2.6,5.9,.440,3.3,3.8,.877,,,3.8,3.3,2.0,0.1,3.4,2.6,20.3,,7.49
Mark Price,pricema01,mark-price-1,1986,25,1983-84,Georgia Tech,ACC,29,29,37.2,6.6,12.9,.509,,,,,,,2.4,2.9,.824,,,2.1,4.2,1.9,0.0,2.6,2.1,15.6,,8.61
Mark Price,pricema01,mark-price-1,1986,25,1984-85,Georgia Tech,ACC,35,35,37.2,6.4,13.2,.483,,,,,,,3.9,4.7,.840,,,2.0,4.3,1.9,0.1,2.3,1.6,16.7,,7.41
