name,slug,college_slug,draft_year,draft_pick,season,school_name,conf_abbr,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,sos-dum,sos
Mike Gminski,gminsmi01,mike-gminski-1,1980,7,1979-80,Duke,ACC,33,,36.1,7.9,14.8,.538,,,,,,,5.5,6.5,.841,,,10.9,1.1,0.9,2.9,2.3,2.1,21.3,,8.25
Andrew Toney,toneyan01,andrew-toney-1,1980,8,1976-77,Louisiana,Southland,29,,32.2,8.7,16.9,.517,,,,,,,3.5,4.6,.767,,,3.1,,,,,3.7,21.0,,-4.61
Andrew Toney,toneyan01,andrew-toney-1,1980,8,1977-78,Louisiana,Southland,27,,32.8,9.7,17.3,.560,,,,,,,5.1,6.6,.765,,,2.6,,,,,3.3,24.5,,-3.40
Andrew Toney,toneyan01,andrew-toney-1,1980,8,1978-79,Louisiana,Southland,27,26,33.3,9.0,18.5,.484,,,,,,,5.4,7.1,.756,,,3.3,3.0,,,,3.2,23.3,,-0.71
Andrew Toney,toneyan01,andrew-toney-1,1980,8,1979-80,Louisiana,Southland,24,24,33.7,10.0,17.7,.562,,,,,,,6.2,7.7,.805,,,3.8,4.6,,0.2,4.5,3.3,26.1,,-2.20
Michael Brooks,brookmi01,michael-brooks-1,1980,9,1976-77,La Salle,ECC,29,,,8.3,16.9,.492,,,,,,,3.3,5.2,.638,,,10.7,1.9,,,,2.3,20.0,,-1.09
Michael Brooks,brookmi01,michael-brooks-1,1980,9,1977-78,La Salle,ECC,28,,34.5,10.3,17.5,.588,,,,,,,4.3,5.9,.732,,,12.8,1.6,,,,2.5,24.9,,-0.52
Michael Brooks,brookmi01,michael-brooks-1,1980,9,1978-79,La Salle,ECC,26,,,9.4,17.0,.553,,,,,,,4.5,6.2,.720,,,13.3,1.3,,,,,23.3,,-2.19
Michael Brooks,brookmi01,michael-brooks-1,1980,9,1979-80,La Salle,ECC,31,,,9.4,17.8,.524,,,,,,,5.4,7.6,.705,,,11.5,2.1,,,,,24.1,,-1.31
Ronnie Lester,lestero01,ronnie-lester-1,1980,10,1976-77,Iowa,Big Ten,27,,,5.2,11.6,.449,,,,,,,3.1,4.4,.697,,,2.4,3.6,,,,2.7,13.4,,5.39
Ronnie Lester,lestero01,ronnie-lester-1,1980,10,1977-78,Iowa,Big Ten,27,,,7.5,15.7,.478,,,,,,,4.9,6.6,.746,,,2.5,6.0,,,,2.4,19.9,,5.75
Ronnie Lester,lestero01,ronnie-lester-1,1980,10,1978-79,Iowa,Big Ten,28,,,6.9,14.3,.484,,,,,,,4.9,5.8,.845,,,2.3,5.3,,,,2.5,18.7,,7.79
Ronnie Lester,lestero01,ronnie-lester-1,1980,10,1979-80,Iowa,Big Ten,17,,,5.1,10.9,.465,,,,,,,4.7,5.9,.800,,,1.7,4.2,1.4,0.2,,2.1,14.8,,10.91
Kiki Vandeweghe,vandeki01,kiki-vandeweghe-1,1980,11,1976-77,UCLA,Pac-8,23,,10.0,1.5,3.0,.500,,,,,,,0.5,0.7,.706,,,1.8,1.0,,,,1.0,3.6,,3.86
Kiki Vandeweghe,vandeki01,kiki-vandeweghe-1,1980,11,1977-78,UCLA,Pac-8,28,,21.1,3.6,6.6,.549,,,,,,,1.6,2.4,.687,,,4.4,1.5,,,,1.5,8.9,,4.94
Kiki Vandeweghe,vandeki01,kiki-vandeweghe-1,1980,11,1978-79,UCLA,Pac-10,30,,30.5,5.5,8.9,.622,,,,,,,3.2,3.9,.812,,,6.3,1.5,0.9,0.4,1.9,1.5,14.2,,6.25
Kiki Vandeweghe,vandeki01,kiki-vandeweghe-1,1980,11,1979-80,UCLA,Pac-10,32,,33.8,7.3,13.1,.557,,,,,,,4.8,6.1,.791,,,6.8,1.7,0.6,0.6,2.2,1.0,19.5,,6.10
Mike Woodson,woodsmi01,mike-woodson-1,1980,12,1976-77,Indiana,Big Ten,27,,33.0,7.9,15.1,.521,,,,,,,2.8,3.6,.792,,,6.7,1.6,,,3.6,3.3,18.5,,8.21
Mike Woodson,woodsmi01,mike-woodson-1,1980,12,1977-78,Indiana,Big Ten,29,28,36.0,8.3,15.9,.524,,,,,,,3.2,4.2,.769,,,5.4,1.4,1.2,0.8,3.3,2.7,19.9,,5.96
